#Network , Station , Latitude , Longitude , Elevation , SiteName , StartTime , EndTime
G,MBO,14.392024,-16.955467,3.0,"M'Bour, Senegal",1985-09-01T00:00:00,2020-03-04T00:00:00
G,MPG,5.11011,-52.644483,147.0,"Montagne des Peres - French Guiana, France",2000-07-03T00:00:00,
G,NOUC,-22.09863,166.30665,137.0,"Port Laguerre - New Caledonia, France",1988-03-21T00:00:00,
G,PAF,-49.351,70.210708,17.0,"Port aux Francais - Kerguelen - TAAF, France",1983-01-01T00:00:00,
G,PEL,-33.143607,-70.67494,700.0,"Peldehue, Chile",1995-10-04T00:00:00,
G,PPT,-17.569,-149.576,340.0,"Pamatai - Papeete - Tahiti island - French Polynesia, France",1986-05-31T00:00:00,2009-03-25T00:00:00
G,PPTF,-17.5896,-149.565247,705.0,"Pamatai - Papeete - Tahiti island - French Polynesia, France",2009-04-25T00:00:00,
G,PVC,-17.74,168.311996,80.0,"Port Vila - Efate island, Vanuatu",1994-06-01T00:00:00,2004-04-01T00:01:00
G,RER,-21.1712,55.739861,834.0,"Riviere de l'Est - Sainte Rose - La Reunion island, France",1986-02-10T00:00:00,
G,ROCAM,-19.75553,63.37014,52.0,"Leguat Reserve, Rodrigues Island, Republic of Mauritius",2012-12-15T00:00:00,
G,RODM,-19.696196,63.44128,300.0,"Rodrigues Island, Republic of Mauritius",2010-11-10T00:00:00,2014-09-06T23:59:00
G,SANVU,-15.447148,167.203232,56.0,"Espiritu Santo, Vanuatu",2011-11-01T00:00:00,
G,SCZ,36.59798,-121.40481,261.0,"Chualar Canyon - Santa Cruz - California, USA",1986-06-11T00:00:00,2013-01-01T16:00:00
G,SEY,62.932999,152.373001,206.0,"Seymchan, Russia",1990-09-21T00:00:00,1994-02-02T00:00:00
G,SOK,14.494418,-16.456223,70.9,"Sop - Niakhar, Senegal",2020-03-08T12:00:00,
G,SPB,-23.592691,-47.426979,647.0,"Sao Paulo, Brazil",1996-06-17T00:00:00,
G,SSB,45.279,4.542,700.0,"Tunnel de Badole - Saint Sauveur en Rue, France",1982-05-02T00:00:00,
G,SSB2,45.278999,4.542,700.0,"Tunnel de Badole - Saint Sauveur en Rue, France",1991-11-19T00:00:00,1993-06-15T00:00:00
G,SSB3,45.278999,4.542,700.0,"Tunnel de Badole - Saint Sauveur en Rue, France",1993-05-04T00:00:00,1993-06-16T00:00:00
G,TAM,22.791491,5.52838,1410.0,"Tamanrasset, Algeria",1983-11-16T00:00:00,
G,TAOE,-8.85492,-140.14775,800.0,"Taiohae - Marquesas islands, France",2004-11-01T20:00:00,
G,TRIS,-37.0681,-12.3152,60.0,Tristan da Cunha,2004-03-03T00:00:00,
G,UNM,19.329662,-99.178062,2280.0,"Unam - Mexico, Mexico",1990-06-06T00:00:00,
G,WFM,42.611,-71.490997,87.0,"Westford - Massachusets, USA",1984-05-17T00:00:00,1994-04-28T00:00:00
G,WUS,41.200716,79.216498,1468.0,"Wushi - Xinjiang Uygur, China",1988-10-31T00:00:00,
